project,mda_code,mda_name,lga_code,lga_name,econ_code,econ_name,func_code,func_name,amt_2024_actual,amt_2025_revised,amt_2025_perf_jan_sep,amt_2026_approved,source_page
Installation of Solar Streetlight at Kpakungu and Gbeganu Burial Ground,023100200100,Niger State Electrification Board,12621600,CHANCHAGA,23020123,CONSTRUCTION OF TRAFFIC /STREET LIGHTS,70435,ELECTRICITY,0.0,0.0,0.0,5000000.0,79
Establishment of Relief substation at Suleja,023100200100,Niger State Electrification Board,12622300,SULEJA,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,100000000.0,79
Construction of 33kv line From Shakwatu to Gurusu Kuta and Sabon Gurusu,023100200100,Niger State Electrification Board,12620500,BOSSO,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,13004077.0,79
"Construction of 33kv From Jima Doko to Sa;aci and 11kv From Sa'aci, Egagi to Nupeko",023100200100,Niger State Electrification Board,12610600,EDATI,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,169776068.0,79
Construction of 33kv Line From Dzakagi to Tama Village in Edati LGA,023100200100,Niger State Electrification Board,12611200,LAVUN,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,80638288.0,79
Construction of 33kv Line From New gate University to the Neighbouring Community,023100200100,Niger State Electrification Board,12620500,BOSSO,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,74900560.0,79
Upgrading of 11kv line to 33kv line and Distribution Materials to Badegi Community,023100200100,Niger State Electrification Board,12610900,KATCHA,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,170000000.0,79
Construction of 33kv Line to Etsugaie and Environs,023100200100,Niger State Electrification Board,12610100,AGAIE,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,239412750.0,79
"Electrification of Etsu Manma, Bankorogi and Kparaka Community",023100200100,Niger State Electrification Board,12610700,GBAKO,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,182753247.0,79
"Construction of 33kv Line to Gawa in Evuti, Lapai LG",023100200100,Niger State Electrification Board,12611100,LAPAI,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,143890460.0,79
Construction of 33kv Line From Lemu to Sakiwa Magiworo,023100200100,Niger State Electrification Board,12610700,GBAKO,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,126650450.0,79
Electrification of Amude to Patishin Village in Katcha LGA,023100200100,Niger State Electrification Board,12610900,KATCHA,23010128,PURCHASE OF SECURITY EQUIPMENT,70435,ELECTRICITY,0.0,0.0,0.0,212000000.0,79
"Electrification of Tsaduko Village, Gbako LGA",023100200100,Niger State Electrification Board,12610700,GBAKO,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,211000000.0,79
"Electrification of Gulbinboka, Mariga LGA",023100200100,Niger State Electrification Board,12631400,MARIGA,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,150000000.0,79
"Electrification of Wonchin Gana to Ekangi to Evunti Communities, Gbako",023100200100,Niger State Electrification Board,12610700,GBAKO,23020125,CONSTRUCTION OF POWER GENERATING PLANTS,70435,ELECTRICITY,0.0,0.0,0.0,175000000.0,79
installation of 30MVA/132KV/33K injection substation at Maizube farm,023100300100,Niger State Electricity Regulatory Commission,12620500,BOSSO,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,700000000.0,0.0,0.0,79
"Provision of 10,000 Units of prepaid metre",023100300100,Niger State Electricity Regulatory Commission,12642600,STATE WIDE,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,400000000.0,0.0,500000000.0,80
purchase of 10no. 33KVA distribution transformer and installation materials,023100300100,Niger State Electricity Regulatory Commission,12621600,CHANCHAGA,23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,70435,ELECTRICITY,0.0,0.0,0.0,500000000.0,80
Conduct of Survey and Analysis of Prospective Mineral Sites across the State,023300100100,Ministry of Mining & Mineral Resources,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70484,"R & D MINING, MANUFACTURING AND CONSTRUCTION",0.0,100000000.0,0.0,100000000.0,80
Acquisition of Land in Minna for the Construction of Office Accomodation,023300100100,Ministry of Mining & Mineral Resources,12621600,CHANCHAGA,23010101,PURCHASE / ACQUISITION OF LAND,70131,GENERAL PERSONNEL SERVICES,0.0,5000000.0,0.0,20000000.0,80
Provision of Solar Panel and Battery for Alternative Energy,023300100100,Ministry of Mining & Mineral Resources,12621600,CHANCHAGA,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70131,GENERAL PERSONNEL SERVICES,0.0,15000000.0,0.0,25000000.0,80
Purchase of 1no RTK GNSS Survey tools and Geological Equiptment,023300100100,Ministry of Mining & Mineral Resources,12642600,STATE WIDE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,10000000.0,0.0,180000000.0,80
Purchase of 2no. XRF Gold detector machines,023300100100,Ministry of Mining & Mineral Resources,12642600,STATE WIDE,23010133,PURCHASES OF SURVEYING EQUIPMENT,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,10500000.0,90000000.0,0.0,0.0,80
Establishment of Website for Mineral Data Bank,023300100100,Ministry of Mining & Mineral Resources,12642600,STATE WIDE,23050102,COMPUTER SOFTWARE ACQUISITION,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,3000000.0,0.0,45000000.0,80
Intervention on child labour elimination and safe mining,023300100100,Ministry of Mining & Mineral Resources,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,5000000.0,0.0,20000000.0,80
Establishment of AKK/ Mudular Refineries and Gas Station at Bida Basin,023300100100,Ministry of Mining & Mineral Resources,12610300,BIDA,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,60000000.0,0.0,0.0,80
procurement of 10no HP laptop computers,023300100100,Ministry of Mining & Mineral Resources,12621600,CHANCHAGA,23010113,PURCHASE OF COMPUTERS,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,17000000.0,0.0,0.0,80
"Acquisition of Office Building, Minna",023300200100,Zuma Mineral Development Ltd,12621600,CHANCHAGA,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70131,GENERAL PERSONNEL SERVICES,0.0,11500000.0,0.0,0.0,80
Purchase of a set of 7no. Tables and chairs for Office Accomodation,023300200100,Zuma Mineral Development Ltd,12621600,CHANCHAGA,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70131,GENERAL PERSONNEL SERVICES,0.0,3500000.0,0.0,0.0,80
Acquisition of Additional 10no. Mineral Titles,023300200100,Zuma Mineral Development Ltd,12642600,STATE WIDE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70431,COAL AND OTHER SOLID MINERAL FUEL,0.0,100000000.0,0.0,62300000.0,80
Gold Exploration in Acquired Mineral Titles,023300200100,Zuma Mineral Development Ltd,12642600,STATE WIDE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70431,COAL AND OTHER SOLID MINERAL FUEL,0.0,50000000.0,0.0,0.0,80
Development of AkutayiTourmaline mining Site,023300200100,Zuma Mineral Development Ltd,12642600,STATE WIDE,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70431,COAL AND OTHER SOLID MINERAL FUEL,0.0,50000000.0,0.0,0.0,80
"Establishment of Granite Quarry, Sarkin Pawa",023300200100,Zuma Mineral Development Ltd,12622300,SULEJA,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70431,COAL AND OTHER SOLID MINERAL FUEL,0.0,50000000.0,0.0,0.0,80
"Purchase of geological equipment 'X-Ray floricent machine, goal dictator, crusher, milling and other equipment",023300200100,Zuma Mineral Development Ltd,12622300,SULEJA,23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,70431,COAL AND OTHER SOLID MINERAL FUEL,0.0,2500000000.0,0.0,100000000.0,80
i. Research on Exploration of Mineral Resources Across the State,023300200100,Zuma Mineral Development Ltd,12642600,STATE WIDE,23050101,RESEARCH AND DEVELOPMENT,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,0.0,0.0,437700000.0,80
"Survey of Oil Marginal Field, Bida Basin",023300300100,Mid-land Petro Gas Ltd,12610300,BIDA,23050101,RESEARCH AND DEVELOPMENT,70432,PETROLUEM AND NATURAL GAS,0.0,100000000.0,0.0,40000000.0,80
Oil Exploration in Bida Basin,023300300100,Mid-land Petro Gas Ltd,12621600,CHANCHAGA,23050101,RESEARCH AND DEVELOPMENT,70432,PETROLUEM AND NATURAL GAS,0.0,280000000.0,0.0,289200000.0,80
Resuscitation of 10no Filling stations,023300300100,Mid-land Petro Gas Ltd,12610300,BIDA,23050101,RESEARCH AND DEVELOPMENT,70432,PETROLUEM AND NATURAL GAS,0.0,200000000.0,0.0,120000000.0,80
Acquisition of 1no Modular Refinery and 1no Gas plant at oil exploration site at Bida,023300300100,Mid-land Petro Gas Ltd,12610300,BIDA,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70432,PETROLUEM AND NATURAL GAS,0.0,200000000.0,0.0,10000000.0,80
iii. Purchase of AKK Pipeline for extablishment Gas Station,023300300100,Mid-land Petro Gas Ltd,12610100,AGAIE,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,0.0,0.0,50800000.0,80
vi. Research on Petrolium Exploration,023300300100,Mid-land Petro Gas Ltd,12610100,AGAIE,23050101,RESEARCH AND DEVELOPMENT,70441,MINING OF MINERAL RESOURCES OTHER THAN MINERAL FUELS,0.0,0.0,0.0,300000000.0,80
Construction of 15m Concrete and Steel Bridge Along Guzan-Ketso Road,023400100100,Ministry of Works,12611700,MOKOWA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,194942095.09,56715329.0,19023645.65,56715329.25,80
Repair of Failed Section (Sink hole) along Tegina - Kagara Road,023400100100,Ministry of Works,12622000,RAFI,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,83114652.62,14815446.0,0.0,200000000.0,80
Construction of 3mX3m Failed Hydraulic Structures in Magama,023400100100,Ministry of Works,12631300,MAGAMA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,200000000.0,30000000.0,0.0,0.0,80
Construction of 50m Erosion Control at Gadan Mariga,023400100100,Ministry of Works,12631400,MARIGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,4780559602.28,36285524.0,0.0,0.0,80
"Construction of 350m Drainages at Sabon Garin Kwana, Gangaren Kwana & Stone-Pitching Along Tegina Kontagora Road",023400100100,Ministry of Works,12631000,KONTAGORA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,19760854747.9,5150311.0,0.0,7791824.62,80
Construction of road from Lumma to Babanna.,023400100100,Ministry of Works,12630400,BORGU,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,59400881727.17,2000000000.0,1972095906.63,0.0,80
Construction of 4mx4m Cell Bridge at Saganuwa Pachi Community,023400100100,Ministry of Works,12610700,GBAKO,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,80000000.0,54157686.75,0.0,80
Construction of road from Lumma to New Bussa,023400100100,Ministry of Works,12630400,BORGU,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,20713717731.01,1000000000.0,336246268.0,0.0,80
Construction of 15m Span Ije Etsu Bridge at Edati,023400100100,Ministry of Works,12610600,EDATI,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,8818886787.1,300000000.0,0.0,0.0,80
"Construction of 14km Road, Dikko - Rokota in Edati LGA",023400100100,Ministry of Works,12610600,EDATI,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,1750000000.0,600000000.0,0.0,500000000.0,80
Construction of road from Igade to Mariga,023400100100,Ministry of Works,12631400,MARIGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,179000000.0,1000000000.0,0.0,0.0,80
Construction of road from Nagwamatse to Kontagora,023400100100,Ministry of Works,12631000,KONTAGORA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,269669029.78,400000000.0,0.0,0.0,80
Extension of road from Rijau to Kakita,023400100100,Ministry of Works,12632100,RIJAU,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,1000000000.0,0.0,0.0,80
Construction of 26km road from Katcha to Badeggi,023400100100,Ministry of Works,12610900,KATCHA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,700000000.0,0.0,0.0,80
Extension of Ibbeto Road,023400100100,Ministry of Works,12631300,MAGAMA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,1000000000.0,0.0,0.0,80
Construction of 14.5km Sabon Wuse - Garam Road,023400100100,Ministry of Works,12622400,TAFA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,600000000.0,0.0,0.0,80
Rehabilitation of 103 km Lapai - Gulu - Ebbo & to Muye Road in Lapai,023400100100,Ministry of Works,12611100,LAPAI,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,1000000000.0,0.0,0.0,80
Construction of Road From Mashegu to Mariga Market,023400100100,Ministry of Works,12631400,MARIGA,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,1500000000.0,170914372.01,0.0,80
Consultancy on the Construction of Sarkin Pawa to Kaduna Road,023400100100,Ministry of Works,12621800,MUNYA,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,500000000.0,0.0,0.0,80
"Rehabilitation 19km Kwakuti Market, Chimbi, Kafin koro, Kwagana - Adunu - Ishau - Market Road",023400100100,Ministry of Works,12621900,PAIKORO,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,1200000000.0,0.0,0.0,80
Construction of Matachibu to Bangi Road (60.3km),023400100100,Ministry of Works,12631400,MARIGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,15350000000.0,10350000000.0,0.0,80
Construction of Bangi to Kanfani Bobi Road (89km),023400100100,Ministry of Works,12630400,BORGU,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,11959312941.54,4012067343.27,0.0,80
Construction of Kontagora to Rijau Road (90km),023400100100,Ministry of Works,12632100,RIJAU,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,25680470254.49,25000000000.0,16000000000.0,81
"Construction/ Dualization of 2.2km Ndayako Dokodza - GRA Club Road, Bida (Retention)",023400100100,Ministry of Works,12610300,BIDA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,55664268.0,0.0,0.0,81
Construction of 2.08km Borgu Emirs Palace Road (Retention),023400100100,Ministry of Works,12630400,BORGU,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,13852670.0,0.0,0.0,81
"Construction of 1,800m Reinforced concrete U-Channel in Minna Metropolis",023400100100,Ministry of Works,12621600,CHANCHAGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,500000000.0,0.0,500000000.0,81
Construction of 2mx2m Reinforced concrete Box culvert double cell at Gwada Town along Market Road,023400100100,Ministry of Works,12622200,SHIRORO,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,67471362.0,0.0,67471362.72,81
Construction of Reinforced Concrete Drainage and Land Reclamation at Gadan Mariga LGA,023400100100,Ministry of Works,12631400,MARIGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,73685016.0,0.0,80000000.0,81
"Construction of 2.7km Roads in Mokwa Township, Mokwa LGA",023400100100,Ministry of Works,12611700,MOKOWA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,1400000000.0,0.0,1000000000.0,81
Construction of 8.11km Township Roads in Kagara Town,023400100100,Ministry of Works,12622000,RAFI,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,500000000.0,170914372.01,500000000.0,81
Construction of 3mx3m Four cells Reinforced Concrete Box Culvert on River Kontagora and 350m Access Road to link Ubanana Primary School - Rigasa,023400100100,Ministry of Works,12631000,KONTAGORA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,96129466.0,0.0,96129466.0,81
"Rehabilitation of Selected Five (5no) Roads in Tunga Low Cost, Minna",023400100100,Ministry of Works,12621600,CHANCHAGA,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,442883114.8,500000000.0,129974275.87,524183091.58,81
Construction of Drainages at Unguwan Mayanka Abbatoir & Unguwan Nasarawa (Phase II),023400100100,Ministry of Works,12631000,KONTAGORA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,22232230871.42,109084077.0,0.0,109084077.6,81
Construction of 3mx3m Tripple cell Box culverts at Rafin Kwakwa Unguwan Rigasa,023400100100,Ministry of Works,12631000,KONTAGORA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,16560427782.88,19178775.0,0.0,19178775.0,81
Rehabilitation of 2.08km Internal Roads at Abubakar Sani Bello Estate along Airport Road Maikunkele,023400100100,Ministry of Works,12620500,BOSSO,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,9968515234.62,500000000.0,0.0,0.0,81
Construction of 2no. Roads in Kontagora Township and Dadin Kowa First Bank Road,023400100100,Ministry of Works,12631000,KONTAGORA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,9681762103.8,300000000.0,0.0,250000000.0,81
Construction of 2mX2m Cells Box Culvert at Kuta & Gwada Market Township Road,023400100100,Ministry of Works,12622200,SHIRORO,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,15913142930.2,150000000.0,0.0,0.0,81
Rehabilitation of 7km Zungeru Township Roads in Wushishi LGA,023400100100,Ministry of Works,12632500,WUSHISHI,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,31123457.0,0.0,0.0,81
"Rehabilitation of 10km Tagwai Dam Road, Minna",023400100100,Ministry of Works,12620500,BOSSO,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,209669506.0,0.0,209669506.35,81
Construction of 200m Emergency Works along Airport Road Maikunkele Junction - Minna,023400100100,Ministry of Works,12620500,BOSSO,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,35257780.0,0.0,35257780.0,81
"Upgrading of 1.3km Access Roads to Deputy Governor's Office, Minna",023400100100,Ministry of Works,12621600,CHANCHAGA,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,200000000.0,0.0,0.0,81
"Construction of 700m Tunga Central Mosque road Connecting to Benjama'a Hotel Road, Minna",023400100100,Ministry of Works,12621600,CHANCHAGA,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,550000000.0,0.0,0.0,81
"Surface Dressing of 4.8km internal roads at Abubakar Sani Bello Estate along Airport road, Maikunkele",023400100100,Ministry of Works,12620500,BOSSO,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,0.0,400000000.0,0.0,0.0,81
"Construction of 1.2km 5no Roads in Bosso Low Cost Senior Staff Quarters, Minna",023400100100,Ministry of Works,12620500,BOSSO,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,0.0,500000000.0,0.0,0.0,81
