project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Construction of State wide 300kms rural feeder roads and 500km road (tarring) across the state,10000000.0,0.0,0.0,209106638.6,1000000000.0,1000000000.0,0.0,217,0.41176,0.42974,023405700100,Department for Rural Roads,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000100,Road - General
Construction of Rural Roads through Rural access and mobility projects (RAMP),400000000.0,18501705643.84,5204507537.4,7901705643.84,12901705643.84,17901705643.84,0.0,217,0.41993,0.43791,023405700100,Department for Rural Roads,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000200,Road - General
Rehabilitation of existing projects under rural roads,21575771.81,200000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,217,0.4281,0.44608,023405700100,Department for Rural Roads,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000300,Road - General
Construction of 4km Modaci to Gazau road in Isa LGA,0.0,200000000.0,0.0,0.0,200000000.0,200000000.0,0.0,217,0.43627,0.45425,023405700100,Department for Rural Roads,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000400,Road - General
Construction of feeder roads within 23 LGAs of the State including Constituency Projects,0.0,200000000.0,0.0,2250000000.0,5000000000.0,5000000000.0,0.0,217,0.44444,0.46242,023405700100,Department for Rural Roads,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000500,Road - General
Provision of Road and Drainages from Central Mosque to Danjeka Model Pri.Sch.in Bodinga Town.,0.0,200000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,217,0.45261,0.47059,023405700100,Department for Rural Roads,23020114,CONSTRUCTION / PROVISION OF ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000600,Road - General
Procurement of 1 no. Toyota Hilux 2019 Project operational vehicle (RAAMP PROJECT),0.0,84500000.0,0.0,0.0,84500000.0,84500000.0,0.0,217,0.46078,0.47876,023405700100,Department for Rural Roads,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,17100125000700,Road - General
Construction of Rural Roads under Rural Access and Agricultural Marketing Project/ SEED Fund for RAR,0.0,1707130536.33,200000000.0,4707130536.33,1707130536.33,1707130536.33,0.0,217,0.46895,0.48693,023405700100,Department for Rural Roads,23020114,CONSTRUCTION / PROVISION OF ROADS70451 - ROAD TRANSPORT,,A and State Road Fund (SRS),33342400,State Wide,17100125000900,Road - General
"precurement of plants and machinaries such as dozer D8, Grader Cat, Roller cat, escavator cat, pay loader, load bed, tar boiler, 10,000 liters water tanker",0.0,0.0,0.0,0.0,2000000000.0,2000000000.0,0.0,217,0.47712,0.4951,023405700100,Department for Rural Roads,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,17100126001500,Road - General
PURCHASE OF 10 NO LUXURY 50-SEATER MARCOPOLO BUSES FOR INTER AND INTRA STATE TRANSPORTATION (SSTA),0.0,1150000000.0,0.0,1500000000.0,1500000000.0,1651026772.52,0.0,217,0.51879,0.53676,022900100100,Ministry of Transport,23010108,PURCHASE OF BUSES,70451,ROAD TRANSPORT,33342400,State Wide,17100125000100,Road - General
PURCHASE OF 20 NO OF MITSUBISHI CANTER 2020 MODEL FOR SSTA,0.0,900000000.0,0.0,1000000000.0,1000000000.0,1651026772.48,0.0,217,0.52696,0.54493,022900100100,Ministry of Transport,23010107,PURCHASE OF TRUCKS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000200,Road - General
PURCHASE OF 20 NO TOYOTA 18-SEATER BUSES for SSTA,0.0,1400000000.0,0.0,2400000000.0,2151026772.52,2000000000.0,0.0,217,0.53513,0.5531,022900100100,Ministry of Transport,23010108,PURCHASE OF BUSES,70451,ROAD TRANSPORT,33342400,State Wide,17100125000300,Road - General
REPAIRS OF 10 NO CANTER VEHICLES FOR SSTA,0.0,20000000.0,0.0,100000000.0,0.0,0.0,0.0,217,0.5433,0.56127,022900100100,Ministry of Transport,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,17100125000400,Road - General
COMPLETION OF 2ND PHASE LANDSCAPING SURFACE DRESSING OF SOKOTO STATE TRANSPORT AUTHORITY (SSTA) TERMINAL SOKOTO,0.0,50000000.0,0.0,100000000.0,50000000.0,50000000.0,0.0,217,0.55147,0.56944,022900100100,Ministry of Transport,23030113,REHABILITATION / REPAIRS - ROADS,70451,ROAD TRANSPORT,33342400,State Wide,17100125000500,Road - General
PURCHASE OF AEROPLANE,0.0,32400000000.0,12337245088.11,36000000000.0,0.0,0.0,0.0,217,0.55964,0.57761,022900100100,Ministry of Transport,23010143,PURCHASE OF AEROPLANE,70451,ROAD TRANSPORT,33342400,State Wide,18100125000600,Airways - General
"PURCHASE OF 3 NO BOATS, AND 5 NO CANOES FOR INLAND WATER WAYS",0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,217,0.56781,0.58578,022900100100,Ministry of Transport,23010109,PURCHASE OF SEA BOATS,70451,ROAD TRANSPORT,33342400,State Wide,16100126000100,Water Ways - General
PROCUREMENT OF AIRCRAFT ROTABLES,0.0,0.0,0.0,5500000000.0,0.0,0.0,0.0,217,0.5768,0.59477,022900100100,Ministry of Transport,23010138,PURCHASE OF AERO SPARES/MAINTENANCE,70451,ROAD TRANSPORT,33342400,State Wide,13100126009400,Reform of Government and Governance - General
3RD PHASE LANDSCAPING SURFACE DRESSING OF SSTA TERMINAL AND OFFICE FURNITURES FOR SSTA,0.0,0.0,0.0,122000000.0,122000000.0,122000000.0,0.0,217,0.58497,0.60294,022900100100,Ministry of Transport,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70451,ROAD TRANSPORT,33342400,State Wide,17100126001100,Road - General
RENOVATION OF OFFICE BUILDING AT SSTA,0.0,0.0,0.0,350000000.0,200000000.0,200000000.0,0.0,217,0.59314,0.61111,022900100100,Ministry of Transport,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70451,ROAD TRANSPORT,33342400,State Wide,13100126009500,Reform of Government and Governance - General
"PURCHASE OF 1 NO. EACH OF DRILLING, MILLING, POWER HACKSAW AND WELDING MACHINES.",0.0,0.0,0.0,20000000.0,120000000.0,120000000.0,0.0,217,0.60131,0.61928,022900100100,Ministry of Transport,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT,70451,ROAD TRANSPORT,33342400,State Wide,17100126001200,Road - General
REHABILITATION OF DRIVING SCHOOL,0.0,0.0,0.0,50000000.0,250000000.0,250000000.0,0.0,217,0.60948,0.62745,022900100100,Ministry of Transport,23020107,CONSTRUCTION / PROVISION OF PUBLIC SCHOOLS,70451,ROAD TRANSPORT,33342400,State Wide,17100126001300,Road - General
COMPLETION OF LOCK-UP SHOPS AND OFFICE BLOCK AT SSTA OFFICE AT DANDIMA MOTOR PARK,0.0,0.0,0.0,230000000.0,230000000.0,230000000.0,0.0,217,0.61765,0.63562,022900100100,Ministry of Transport,23030124,REHABILITATION/REPAIRS- MARKETS/PARKS,70451,ROAD TRANSPORT,33342400,State Wide,13100126009600,Reform of Government and Governance - General
"PURCHASE OF 12 NO TOYOTA HILUX 2023 MODEL FOR OFFICIAL USE, FOR MECHANICAL, VIO DEPARTMENT AND FOR MONITORING OF THE AIRLINE OPERATIONS",0.0,0.0,0.0,0.0,600000000.0,600000000.0,0.0,217,0.62582,0.64379,022900100100,Ministry of Transport,23010105,PURCHASE OF MOTOR VEHICLES,70451,ROAD TRANSPORT,33342400,State Wide,17100126001400,Road - General
Provision of mini hotels & resorts at Illela Romon Sarki VIllage,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,217,0.66667,0.68464,023600100100,Ministry of Culture & Tourism,23010101,PURCHASE / ACQUISITION OF LAND,70821,CULTURAL SERVICES,33342400,State Wide,02100125000900,Societal Re-orientation - General
Consavation management of Hubbaren Shehu,0.0,40000000.0,0.0,25590700.0,25590700.0,25590700.0,0.0,217,0.67484,0.69281,023600100100,Ministry of Culture & Tourism,23020102,CONSTRUCTION / PROVISION OF RESIDENTIAL BUILDINGS,70821,CULTURAL SERVICES,33342400,State Wide,02100125001000,Societal Re-orientation - General
Construction of convenience around Hubbare Area,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,217,0.68382,0.7018,023600100100,Ministry of Culture & Tourism,23020126,CONSTRUCTION/PROVISION OF CEMETERIES,70821,CULTURAL SERVICES,33342400,State Wide,02100125001100,Societal Re-orientation - General
"Purchase of 3 Photomask cabinet, 3 Nitrogen cabinet and 20 Glove box for Preservation of Historical materials at Waziri Junaidu History Bureau",0.0,230000000.0,0.0,50000000.0,50000000.0,50000000.0,0.0,217,0.69199,0.70997,023600100100,Ministry of Culture & Tourism,23050101,RESEARCH AND DEVELOPMENT,70821,CULTURAL SERVICES,33342400,State Wide,02100125001200,Societal Re-orientation - General
Upgrading and Packaging of water from rijiyar Shehu,0.0,150000000.0,0.0,30000000.0,30000000.0,30000000.0,0.0,217,0.70016,0.71814,023600100100,Ministry of Culture & Tourism,23050101,RESEARCH AND DEVELOPMENT,70861,"RECREATION, CULTURE AND RELIGION N.E.C.",33342400,State Wide,02100126000200,Societal Re-orientation - General
Construction of Cultural Village within Sokoto metropolis,0.0,230000000.0,0.0,260000000.0,60000000.0,60000000.0,0.0,217,0.70833,0.72631,023600100100,Ministry of Culture & Tourism,23050101,RESEARCH AND DEVELOPMENT,70861,"RECREATION, CULTURE AND RELIGION N.E.C.",33342400,State Wide,02100126000300,Societal Re-orientation - General
Upgrading of Waziri Junaidu History Bureau,0.0,0.0,0.0,193000000.0,0.0,0.0,0.0,217,0.7165,0.73448,023600100100,Ministry of Culture & Tourism,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70861,"RECREATION, CULTURE AND RELIGION N.E.C.",33342400,State Wide,02100126000400,Societal Re-orientation - General
Renovation of Waziri Junaidu History Bureau,0.0,0.0,0.0,230000000.0,0.0,0.0,0.0,217,0.72467,0.74265,023600100100,Ministry of Culture & Tourism,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70861,"RECREATION, CULTURE AND RELIGION N.E.C.",33342400,State Wide,02100126000500,Societal Re-orientation - General
UNPFA Maternal and Reproductive Health activities across the 23 LGAs,0.0,170000000.0,0.0,170000000.0,170000000.0,170000000.0,0.0,217,0.76552,0.7835,023800100100,Ministry of Budget and Economic Planning,23050108,CAPACITY DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000100,Reform of Government and Governance - General
Coordination of State UN and other Develomental Partners Programme & Project,0.0,25000000.0,0.0,15000000.0,25000000.0,25000000.0,0.0,217,0.77369,0.79167,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000200,Reform of Government and Governance - General
Establishement & Equiping of Planning Library & Monitoring and Evaluation.,0.0,15000000.0,0.0,10000000.0,15000000.0,15000000.0,0.0,217,0.78268,0.80065,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000300,Reform of Government and Governance - General
Purchase of 20 no tables and chairs for Ministry of Budget headquater,0.0,5000000.0,0.0,10000000.0,5000000.0,5000000.0,0.0,217,0.79085,0.80882,023800100100,Ministry of Budget and Economic Planning,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000600,Reform of Government and Governance - General
"Construction of blocks of classrooms, boreholes and rural health facilities under SDGs activities across the State",0.0,300000000.0,14391500.0,500000000.0,500000000.0,500000000.0,0.0,217,0.79902,0.81699,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000700,Reform of Government and Governance - General
Capacity Development activities by Development Partners,0.0,100000000.0,27201800.0,0.0,100000000.0,100000000.0,0.0,217,0.80719,0.82516,023800100100,Ministry of Budget and Economic Planning,23050108,CAPACITY DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000800,Reform of Government and Governance - General
Human Capital Development Programme,0.0,25000000.0,0.0,15000000.0,25000000.0,25000000.0,0.0,217,0.81536,0.83333,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000900,Reform of Government and Governance - General
Acquiring offices for Bureau of Statistics,0.0,20000000.0,0.0,10000000.0,20000000.0,20000000.0,0.0,217,0.82353,0.8415,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001000,Reform of Government and Governance - General
Upgrading & Refurbishing of office buildings,0.0,5000000.0,0.0,5000000.0,5000000.0,5000000.0,0.0,217,0.8317,0.84967,023800100100,Ministry of Budget and Economic Planning,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001100,Reform of Government and Governance - General
Establishment of State data base for Bureau of Statistics,0.0,10000000.0,0.0,5000000.0,10000000.0,10000000.0,0.0,217,0.83987,0.85784,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001200,Reform of Government and Governance - General
National Strategic for Development of Statistics (NSDS) in collaboration with NBS and Donor Agencies.,0.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,217,0.84804,0.86601,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001300,Reform of Government and Governance - General
"Development of State Policy Frameworks Documents such as State Development Plan, Social Protection,MTEF etc",0.0,0.0,0.0,70000000.0,0.0,0.0,0.0,217,0.85621,0.87418,023800100100,Ministry of Budget and Economic Planning,23050101,RESEARCH AND DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001400,Reform of Government and Governance - General
Management of Support for Food and Nutrition activities across the State,0.0,50000000.0,2280000.0,250000000.0,50000000.0,50000000.0,0.0,217,0.86438,0.88235,023800100100,Ministry of Budget and Economic Planning,23050101,RESEARCH AND DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001500,Reform of Government and Governance - General
Procurement 14no of Dell Laptop Core i7 (SSD 1Tera Byte) to ICT Office,0.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,217,0.87255,0.89052,023800100100,Ministry of Budget and Economic Planning,23010113,PURCHASE OF COMPUTERS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001600,Reform of Government and Governance - General
"Projects and Programmes under UN Delivery as One (on Result Area 1-3)ie. Governnace, Human Right Peace and Security, Equitable Quality and Basic services, Sustainable and inclusive Growth and Development under UN Delivery as One",0.0,100000000.0,0.0,0.0,100000000.0,100000000.0,0.0,217,0.88154,0.89951,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001700,Reform of Government and Governance - General
Conduct of surveys and Researches to Support to Social Protection Policy development (SPP),0.0,100000000.0,0.0,25000000.0,100000000.0,100000000.0,0.0,217,0.88971,0.90768,023800100100,Ministry of Budget and Economic Planning,23050101,RESEARCH AND DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001800,Reform of Government and Governance - General
Management of Nigeria CARES Programme across the State,0.0,300000000.0,0.0,284000000.0,284000000.0,284000000.0,0.0,217,0.89788,0.91585,023800100100,Ministry of Budget and Economic Planning,23050101,RESEARCH AND DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122001900,Reform of Government and Governance - General
Procurement of Computer accessories software for tracking of Budget Performance and Reporting,0.0,15000000.0,0.0,5000000.0,15000000.0,15000000.0,0.0,218,0.09069,0.10866,023800100100,Ministry of Budget and Economic Planning,23050102,COMPUTER SOFTWARE ACQUISITION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100124005300,Reform of Government and Governance - General
North East Youth Initiative for Development (NEYIF),0.0,30000000.0,0.0,50000000.0,30000000.0,30000000.0,0.0,218,0.09886,0.11683,023800100100,Ministry of Budget and Economic Planning,23050103,MONITORING AND EVALUATION,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100122000800,Reform of Government and Governance - General
Purchase of vehicles 1 no of Toyota Hilux 2019 model,0.0,0.0,0.0,0.0,250000000.0,250000000.0,0.0,218,0.13971,0.15768,023800300400,Social Investment Programme,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126009700,Reform of Government and Governance - General
Purchase of 100 no Samsung Galaxy Tab-A,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,218,0.14788,0.16585,023800300400,Social Investment Programme,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126009800,Reform of Government and Governance - General
Purchase of 25 no Hp Laptop Corei5,0.0,0.0,0.0,20500000.0,0.0,0.0,0.0,218,0.15605,0.17402,023800300400,Social Investment Programme,23010105,PURCHASE OF MOTOR VEHICLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126009900,Reform of Government and Governance - General
Purchase of 25 no Kasea Motorcycle,0.0,0.0,0.0,37500000.0,0.0,0.0,0.0,218,0.16422,0.18219,023800300400,Social Investment Programme,23010104,PURCHASE MOTOR CYCLES,70133,OTHER GENERAL SERVICES,33342400,State Wide,13100126010000,Reform of Government and Governance - General
Establishment of Planning and Statistical offices in 23 LGA in the state,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,218,0.20588,0.22386,023800400100,State Bureau of Statistics,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100126010100,Reform of Government and Governance - General
Establishment of Database in the State Bureau of Statistics,0.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,0.0,218,0.21405,0.23203,023800400100,State Bureau of Statistics,23050101,RESEARCH AND DEVELOPMENT,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100126010200,Reform of Government and Governance - General
Construction of ICT Center at Bureau of Statistics,0.0,50000000.0,0.0,150000000.0,350000000.0,350000000.0,0.0,218,0.22222,0.2402,023800400100,State Bureau of Statistics,23020127,CONSTRUCTION OF ICT INFRASTRUCTURES,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100126010300,Reform of Government and Governance - General
Procurement of Office Accomodation/complex for State Bureau of Statistics in Sokoto Metropolis,0.0,0.0,0.0,200000000.0,500000000.0,500000000.0,0.0,218,0.23039,0.24837,023800400100,State Bureau of Statistics,23010102,PURCHASE OF OFFICE BUILDINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100126010400,Reform of Government and Governance - General
Purchase of 20 no. executive tables and 20 no executive chairs,0.0,0.0,0.0,20000000.0,250000000.0,250000000.0,0.0,218,0.23856,0.25654,023800400100,State Bureau of Statistics,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100126010500,Reform of Government and Governance - General
"Purchase of 10 No Dell Computer Laptops and Apple desktop computers, Scanning machines and Samsung Tab-A7 Galaxy for State Bureau of Statistics",0.0,0.0,0.0,60000000.0,150000000.0,150000000.0,0.0,218,0.24673,0.26471,023800400100,State Bureau of Statistics,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70132,OVERALL PLANNING AND STATISTICAL SERVICES,33342400,State Wide,13100126010600,Reform of Government and Governance - General
"Procurement of 10kva inverter, 10 no. panels and 2 no. 10kva lithium battery",0.0,100000000.0,0.0,20000000.0,50000000.0,50000000.0,0.0,218,0.2884,0.30637,023800700100,Office of the Special Adviser on Economic Matters,23010114,PURCHASE OF COMPUTER PRINTERS,70411,GENERAL ECONOMIC AND COMMERCIALAFFAIRS,33342400,State Wide,03100125000100,Poverty Alleviation - General
